daerah,nama kecamatan,kepadatan penduduk
kabupaten tasikmalaya,Cipatujah,292
kabupaten tasikmalaya,Karangnunggal,660
kabupaten tasikmalaya,Cikalong,494
kabupaten tasikmalaya,Pancatengah,248
kabupaten tasikmalaya,Cikatomas,402
kabupaten tasikmalaya,Cibalong,574
kabupaten tasikmalaya,Parungponteng,802
kabupaten tasikmalaya,Bantarkalong,648
kabupaten tasikmalaya,Bojongasih,582
kabupaten tasikmalaya,Culamega,402
kabupaten tasikmalaya,Bojonggambir,263
kabupaten tasikmalaya,Sodonghilir,771
kabupaten tasikmalaya,Taraju,764
kabupaten tasikmalaya,Salawu,1289
kabupaten tasikmalaya,Puspahiang,1040
kabupaten tasikmalaya,Tanjungjaya,1305
kabupaten tasikmalaya,Sukaraja,1289
kabupaten tasikmalaya,Salopa,427
kabupaten tasikmalaya,Jatiwaras,733
kabupaten tasikmalaya,Cineam,436
kabupaten tasikmalaya,Karangjaya,267
kabupaten tasikmalaya,Manonjaya,1677
kabupaten tasikmalaya,Gunungtanjung,968
kabupaten tasikmalaya,Singaparna,3051
kabupaten tasikmalaya,Sukarame,2238
kabupaten tasikmalaya,Mangunreja,1429
kabupaten tasikmalaya,Cigalontang,645
kabupaten tasikmalaya,Leuwisari,790
kabupaten tasikmalaya,Sariwangi,735
kabupaten tasikmalaya,Padakembang,1132
kabupaten tasikmalaya,Sukaratu,934
kabupaten tasikmalaya,Cisayong,1046
kabupaten tasikmalaya,Sukahening,1129
kabupaten tasikmalaya,Rajapolah,2477
kabupaten tasikmalaya,Jamanis,1841
kabupaten tasikmalaya,Ciawi,1496
kabupaten tasikmalaya,Kadipaten,896
kabupaten tasikmalaya,Pagerageung,901
kabupaten tasikmalaya,Sukaresik,2373
kabupaten sukabumi,Ciemas,190
kabupaten sukabumi,Ciracap,394
kabupaten sukabumi,Waluran,326
kabupaten sukabumi,Surade,709
kabupaten sukabumi,Cibitung,350
kabupaten sukabumi,Jampang Kulon,783
kabupaten sukabumi,Cimanggu,438
kabupaten sukabumi,Kali Bunder,383
kabupaten sukabumi,Tegal Buleud,145
kabupaten sukabumi,Cidolog,180
kabupaten sukabumi,Sagaranten,482
kabupaten sukabumi,Cidadap,232
kabupaten sukabumi,Curugkembar,569
kabupaten sukabumi,Pabuaran,395
kabupaten sukabumi,Lengkong,235
kabupaten sukabumi,Palabuhanratu,1324
kabupaten sukabumi,Simpenan,362
kabupaten sukabumi,Warung Kiara,718
kabupaten sukabumi,Bantargadung,566
kabupaten sukabumi,Jampang Tengah,366
kabupaten sukabumi,Purabaya,397
kabupaten sukabumi,Cikembar,1104
kabupaten sukabumi,Nyalindung,515
kabupaten sukabumi,Geger Bitung,649
kabupaten sukabumi,Sukaraja,2367
kabupaten sukabumi,Kebonpedes,3285
kabupaten sukabumi,Cireunghas,1217
kabupaten sukabumi,Sukalarang,1723
